#Annee-Mois-JourTHeure:Minute:Sec Debit(m3/s)
1997-06-05T04:00:00 0.00225
1997-06-05T07:00:00 0.00225
1997-06-05T07:22:00 0.0045
1997-06-05T07:36:00 0.00765
1997-06-05T07:37:00 0.0216
1997-06-05T07:38:00 0.0405
1997-06-05T07:39:00 0.04275
1997-06-05T07:40:00 0.045
1997-06-05T07:44:00 0.04725
1997-06-05T07:46:00 0.05085
1997-06-05T07:48:00 0.05625
1997-06-05T07:49:00 0.0621
1997-06-05T07:50:00 0.07875
1997-06-05T07:51:00 0.09
1997-06-05T07:52:00 0.10575
1997-06-05T07:53:00 0.1164
1997-06-05T07:54:00 0.12564
1997-06-05T07:55:00 0.14328
1997-06-05T07:56:00 0.157
1997-06-05T07:57:00 0.165
1997-06-05T07:58:00 0.185
1997-06-05T07:59:00 0.191
1997-06-05T08:00:00 0.20224
1997-06-05T08:01:00 0.21232
1997-06-05T08:02:00 0.21792
1997-06-05T08:03:00 0.22352
1997-06-05T08:04:00 0.23136
1997-06-05T08:05:00 0.24144
1997-06-05T08:08:00 0.2616
1997-06-05T08:10:00 0.2672
1997-06-05T08:12:00 0.2616
1997-06-05T08:15:00 0.25152
1997-06-05T08:17:00 0.24032
1997-06-05T08:18:00 0.23472
1997-06-05T08:20:00 0.228
1997-06-05T08:21:00 0.2224
1997-06-05T08:23:00 0.21344
1997-06-05T08:25:00 0.2056
1997-06-05T08:27:00 0.199
1997-06-05T08:30:00 0.192
1997-06-05T08:32:00 0.187
1997-06-05T08:34:00 0.181
1997-06-05T08:39:00 0.174
1997-06-05T08:42:00 0.165
1997-06-05T08:47:00 0.159
1997-06-05T08:50:00 0.14916
1997-06-05T08:51:00 0.154
1997-06-05T08:54:00 0.14832
1997-06-05T08:56:00 0.14076
1997-06-05T09:01:00 0.13404
1997-06-05T09:04:00 0.12732
1997-06-05T09:07:00 0.12312
1997-06-05T09:10:00 0.11892
1997-06-05T09:12:00 0.11388
1997-06-05T09:13:00 0.10968
1997-06-05T09:14:00 0.105
1997-06-05T09:19:00 0.10125
1997-06-05T09:20:00 0.09675
1997-06-05T09:23:00 0.0885
1997-06-05T09:27:00 0.07725
1997-06-05T09:28:00 0.08175
1997-06-05T09:31:00 0.07575
1997-06-05T09:32:00 0.0705
1997-06-05T09:35:00 0.06375
1997-06-05T09:37:00 0.0612
1997-06-05T09:38:00 0.0645
1997-06-05T09:39:00 0.06165
1997-06-05T09:41:00 0.0594
1997-06-05T09:43:00 0.05625
1997-06-05T09:49:00 0.05355
1997-06-05T09:51:00 0.0513
1997-06-05T09:54:00 0.0486
1997-06-05T09:58:00 0.04545
1997-06-05T10:03:00 0.0432
1997-06-05T10:06:00 0.0405
1997-06-05T10:10:00 0.03825
1997-06-05T10:14:00 0.036
1997-06-05T10:18:00 0.03375
1997-06-05T10:25:00 0.0306
1997-06-05T10:34:00 0.02835
1997-06-05T10:43:00 0.02565
1997-06-05T10:54:00 0.0234
1997-06-05T11:08:00 0.02115
1997-06-05T11:24:00 0.0189
1997-06-05T11:43:00 0.01665
1997-06-05T13:03:00 0.0189
1997-06-05T13:05:00 0.0216
1997-06-05T13:08:00 0.02475
1997-06-05T13:10:00 0.027
1997-06-05T13:14:00 0.02925
1997-06-05T13:17:00 0.0315
1997-06-05T13:43:00 0.02925
1997-06-05T13:54:00 0.02655
1997-06-05T14:03:00 0.0243
1997-06-05T14:10:00 0.02205
1997-06-05T14:26:00 0.0198
1997-06-05T14:40:00 0.01755
1997-06-05T15:28:00 0.0153
1997-06-05T16:23:00 0.01305
