#datetime;TLU#1:examples.TLU.S.state;TLU#1:examples.TLU.T.changeTime;TLU#2:examples.TLU.S.state;TLU#2:examples.TLU.T.changeTime;TLU#3:examples.TLU.S.state;TLU#3:examples.TLU.T.changeTime;TLU#4:examples.TLU.S.state;TLU#4:examples.TLU.T.changeTime;TLU#5:examples.TLU.S.state;TLU#5:examples.TLU.T.changeTime;TLU#6:examples.TLU.S.state;TLU#6:examples.TLU.T.changeTime
20130531T102200;false;5100;true;5100;true;5100;true;5100;false;5100;false;5100
20130531T102300;false;5100;true;5100;true;5100;true;5100;false;5100;false;5100
20130531T102400;false;5100;true;5100;true;5100;true;5100;false;5100;false;5100
20130531T102500;true;5400;false;5400;false;5400;false;5400;true;5400;true;5400
20130531T102600;true;5400;false;5400;false;5400;false;5400;true;5400;true;5400
20130531T102700;true;5400;false;5400;false;5400;false;5400;true;5400;true;5400
20130531T102800;true;5400;false;5400;false;5400;false;5400;true;5400;true;5400
20130531T102900;true;5400;false;5400;false;5400;false;5400;true;5400;true;5400
20130531T103000;false;5700;true;5700;true;5700;true;5700;false;5700;false;5700
20130531T103100;false;5700;true;5700;true;5700;true;5700;false;5700;false;5700
20130531T103200;false;5700;true;5700;true;5700;true;5700;false;5700;false;5700
20130531T103300;false;5700;true;5700;true;5700;true;5700;false;5700;false;5700
20130531T103400;false;5700;true;5700;true;5700;true;5700;false;5700;false;5700
20130531T103500;true;6000;false;6000;false;6000;false;6000;true;6000;true;6000
20130531T103600;true;6000;false;6000;false;6000;false;6000;true;6000;true;6000
20130531T103700;true;6000;false;6000;false;6000;false;6000;true;6000;true;6000
20130531T103800;true;6000;false;6000;false;6000;false;6000;true;6000;true;6000
20130531T103900;true;6000;false;6000;false;6000;false;6000;true;6000;true;6000
20130531T104000;false;6300;true;6300;true;6300;true;6300;false;6300;false;6300
20130531T104100;false;6300;true;6300;true;6300;true;6300;false;6300;false;6300
20130531T104200;false;6300;true;6300;true;6300;true;6300;false;6300;false;6300
20130531T104300;false;6300;true;6300;true;6300;true;6300;false;6300;false;6300
20130531T104400;false;6300;true;6300;true;6300;true;6300;false;6300;false;6300
20130531T104500;true;6600;false;6600;false;6600;false;6600;true;6600;true;6600
20130531T104600;true;6600;false;6600;false;6600;false;6600;true;6600;true;6600
20130531T104700;true;6600;false;6600;false;6600;false;6600;true;6600;true;6600
20130531T104800;true;6600;false;6600;false;6600;false;6600;true;6600;true;6600
20130531T104900;true;6600;false;6600;false;6600;false;6600;true;6600;true;6600
20130531T105000;false;6900;true;6900;true;6900;true;6900;false;6900;false;6900
20130531T105100;false;6900;true;6900;true;6900;true;6900;false;6900;false;6900
20130531T105200;false;6900;true;6900;true;6900;true;6900;false;6900;false;6900
20130531T105300;false;6900;true;6900;true;6900;true;6900;false;6900;false;6900
20130531T105400;false;6900;true;6900;true;6900;true;6900;false;6900;false;6900
20130531T105500;true;7200;false;7200;false;7200;false;7200;true;7200;true;7200
20130531T105600;true;7200;false;7200;false;7200;false;7200;true;7200;true;7200
20130531T105700;true;7200;false;7200;false;7200;false;7200;true;7200;true;7200
20130531T105800;true;7200;false;7200;false;7200;false;7200;true;7200;true;7200
20130531T105900;true;7200;false;7200;false;7200;false;7200;true;7200;true;7200
20130531T110000;false;7500;true;7500;true;7500;true;7500;false;7500;false;7500
20130531T110100;false;7500;true;7500;true;7500;true;7500;false;7500;false;7500
20130531T110200;false;7500;true;7500;true;7500;true;7500;false;7500;false;7500
20130531T110300;false;7500;true;7500;true;7500;true;7500;false;7500;false;7500
20130531T110400;false;7500;true;7500;true;7500;true;7500;false;7500;false;7500
20130531T110500;true;7800;false;7800;false;7800;false;7800;true;7800;true;7800
20130531T110600;true;7800;false;7800;false;7800;false;7800;true;7800;true;7800
20130531T110700;true;7800;false;7800;false;7800;false;7800;true;7800;true;7800
20130531T110800;true;7800;false;7800;false;7800;false;7800;true;7800;true;7800
20130531T110900;true;7800;false;7800;false;7800;false;7800;true;7800;true;7800
20130531T111000;false;8100;true;8100;true;8100;true;8100;false;8100;false;8100
20130531T111100;false;8100;true;8100;true;8100;true;8100;false;8100;false;8100
20130531T111200;false;8100;true;8100;true;8100;true;8100;false;8100;false;8100
20130531T111300;false;8100;true;8100;true;8100;true;8100;false;8100;false;8100
20130531T111400;false;8100;true;8100;true;8100;true;8100;false;8100;false;8100
20130531T111500;true;8400;false;8400;false;8400;false;8400;true;8400;true;8400
20130531T111600;true;8400;false;8400;false;8400;false;8400;true;8400;true;8400
20130531T111700;true;8400;false;8400;false;8400;false;8400;true;8400;true;8400
20130531T111800;true;8400;false;8400;false;8400;false;8400;true;8400;true;8400
20130531T111900;true;8400;false;8400;false;8400;false;8400;true;8400;true;8400
20130531T112000;false;8700;true;8700;true;8700;true;8700;false;8700;false;8700
20130531T112100;false;8700;true;8700;true;8700;true;8700;false;8700;false;8700
20130531T112200;false;8700;true;8700;true;8700;true;8700;false;8700;false;8700
20130531T112300;false;8700;true;8700;true;8700;true;8700;false;8700;false;8700
20130531T112400;false;8700;true;8700;true;8700;true;8700;false;8700;false;8700
20130531T112500;true;9000;false;9000;false;9000;false;9000;true;9000;true;9000
20130531T112600;true;9000;false;9000;false;9000;false;9000;true;9000;true;9000
20130531T112700;true;9000;false;9000;false;9000;false;9000;true;9000;true;9000
20130531T112800;true;9000;false;9000;false;9000;false;9000;true;9000;true;9000
20130531T112900;true;9000;false;9000;false;9000;false;9000;true;9000;true;9000
20130531T113000;false;9300;true;9300;true;9300;true;9300;false;9300;false;9300
20130531T113100;false;9300;true;9300;true;9300;true;9300;false;9300;false;9300
20130531T113200;false;9300;true;9300;true;9300;true;9300;false;9300;false;9300
20130531T113300;false;9300;true;9300;true;9300;true;9300;false;9300;false;9300
20130531T113400;false;9300;true;9300;true;9300;true;9300;false;9300;false;9300
20130531T113500;true;9600;false;9600;false;9600;false;9600;true;9600;true;9600
20130531T113600;true;9600;false;9600;false;9600;false;9600;true;9600;true;9600
20130531T113700;true;9600;false;9600;false;9600;false;9600;true;9600;true;9600
20130531T113800;true;9600;false;9600;false;9600;false;9600;true;9600;true;9600
20130531T113900;true;9600;false;9600;false;9600;false;9600;true;9600;true;9600
20130531T114000;false;9900;true;9900;true;9900;true;9900;false;9900;false;9900
20130531T114100;false;9900;true;9900;true;9900;true;9900;false;9900;false;9900
20130531T114200;false;9900;true;9900;true;9900;true;9900;false;9900;false;9900
20130531T114300;false;9900;true;9900;true;9900;true;9900;false;9900;false;9900
20130531T114400;false;9900;true;9900;true;9900;true;9900;false;9900;false;9900
20130531T114500;true;10200;false;10200;false;10200;false;10200;true;10200;true;10200
20130531T114600;true;10200;false;10200;false;10200;false;10200;true;10200;true;10200
20130531T114700;true;10200;false;10200;false;10200;false;10200;true;10200;true;10200
20130531T114800;true;10200;false;10200;false;10200;false;10200;true;10200;true;10200
20130531T114900;true;10200;false;10200;false;10200;false;10200;true;10200;true;10200
20130531T115000;false;10500;true;10500;true;10500;true;10500;false;10500;false;10500
20130531T115100;false;10500;true;10500;true;10500;true;10500;false;10500;false;10500
20130531T115200;false;10500;true;10500;true;10500;true;10500;false;10500;false;10500
20130531T115300;false;10500;true;10500;true;10500;true;10500;false;10500;false;10500
20130531T115400;false;10500;true;10500;true;10500;true;10500;false;10500;false;10500
20130531T115500;true;10800;false;10800;false;10800;false;10800;true;10800;true;10800
20130531T115600;true;10800;false;10800;false;10800;false;10800;true;10800;true;10800
20130531T115700;true;10800;false;10800;false;10800;false;10800;true;10800;true;10800
20130531T115800;true;10800;false;10800;false;10800;false;10800;true;10800;true;10800
20130531T115900;true;10800;false;10800;false;10800;false;10800;true;10800;true;10800
20130531T120000;false;11100;true;11100;true;11100;true;11100;false;11100;false;11100
20130531T120100;false;11100;true;11100;true;11100;true;11100;false;11100;false;11100
20130531T120200;false;11100;true;11100;true;11100;true;11100;false;11100;false;11100
20130531T120300;false;11100;true;11100;true;11100;true;11100;false;11100;false;11100
20130531T120400;false;11100;true;11100;true;11100;true;11100;false;11100;false;11100
20130531T120500;true;11400;false;11400;false;11400;false;11400;true;11400;true;11400
20130531T120600;true;11400;false;11400;false;11400;false;11400;true;11400;true;11400
20130531T120700;true;11400;false;11400;false;11400;false;11400;true;11400;true;11400
20130531T120800;true;11400;false;11400;false;11400;false;11400;true;11400;true;11400
20130531T120900;true;11400;false;11400;false;11400;false;11400;true;11400;true;11400
20130531T121000;false;11700;true;11700;true;11700;true;11700;false;11700;false;11700
20130531T121100;false;11700;true;11700;true;11700;true;11700;false;11700;false;11700
20130531T121200;false;11700;true;11700;true;11700;true;11700;false;11700;false;11700
20130531T121300;false;11700;true;11700;true;11700;true;11700;false;11700;false;11700
20130531T121400;false;11700;true;11700;true;11700;true;11700;false;11700;false;11700
20130531T121500;true;12000;false;12000;false;12000;false;12000;true;12000;true;12000
20130531T121600;true;12000;false;12000;false;12000;false;12000;true;12000;true;12000
20130531T121700;true;12000;false;12000;false;12000;false;12000;true;12000;true;12000
20130531T121800;true;12000;false;12000;false;12000;false;12000;true;12000;true;12000
20130531T121900;true;12000;false;12000;false;12000;false;12000;true;12000;true;12000
20130531T122000;false;12300;true;12300;true;12300;true;12300;false;12300;false;12300
20130531T122100;false;12300;true;12300;true;12300;true;12300;false;12300;false;12300
20130531T122200;false;12300;true;12300;true;12300;true;12300;false;12300;false;12300
20130531T122300;false;12300;true;12300;true;12300;true;12300;false;12300;false;12300
20130531T122400;false;12300;true;12300;true;12300;true;12300;false;12300;false;12300
20130531T122500;true;12600;false;12600;false;12600;false;12600;true;12600;true;12600
