#datetime	water.surf.Q.downstream-rs
1997-06-05T04:30:00	0
1997-06-05T04:31:00	0
1997-06-05T04:32:00	0
1997-06-05T04:33:00	0
1997-06-05T04:34:00	0
1997-06-05T04:35:00	0
1997-06-05T04:36:00	0
1997-06-05T04:37:00	0
1997-06-05T04:38:00	0
1997-06-05T04:39:00	0
1997-06-05T04:40:00	0
1997-06-05T04:41:00	0
1997-06-05T04:42:00	0
1997-06-05T04:43:00	0
1997-06-05T04:44:00	0
1997-06-05T04:45:00	0
1997-06-05T04:46:00	0
1997-06-05T04:47:00	0
1997-06-05T04:48:00	0
1997-06-05T04:49:00	0
1997-06-05T04:50:00	0
1997-06-05T04:51:00	0
1997-06-05T04:52:00	0
1997-06-05T04:53:00	0
1997-06-05T04:54:00	0
1997-06-05T04:55:00	0
1997-06-05T04:56:00	0
1997-06-05T04:57:00	0
1997-06-05T04:58:00	0
1997-06-05T04:59:00	0
1997-06-05T05:00:00	0
1997-06-05T05:01:00	0
1997-06-05T05:02:00	0
1997-06-05T05:03:00	0
1997-06-05T05:04:00	0
1997-06-05T05:05:00	0
1997-06-05T05:06:00	0
1997-06-05T05:07:00	0
1997-06-05T05:08:00	0
1997-06-05T05:09:00	0
1997-06-05T05:10:00	0
1997-06-05T05:11:00	0
1997-06-05T05:12:00	0
1997-06-05T05:13:00	0
1997-06-05T05:14:00	0
1997-06-05T05:15:00	0
1997-06-05T05:16:00	0
1997-06-05T05:17:00	0
1997-06-05T05:18:00	0
1997-06-05T05:19:00	0
1997-06-05T05:20:00	0
1997-06-05T05:21:00	0
1997-06-05T05:22:00	0
1997-06-05T05:23:00	0
1997-06-05T05:24:00	0
1997-06-05T05:25:00	0
1997-06-05T05:26:00	0
1997-06-05T05:27:00	0
1997-06-05T05:28:00	0
1997-06-05T05:29:00	0
1997-06-05T05:30:00	0
1997-06-05T05:31:00	0
1997-06-05T05:32:00	0
1997-06-05T05:33:00	0
1997-06-05T05:34:00	0
1997-06-05T05:35:00	0
1997-06-05T05:36:00	0
1997-06-05T05:37:00	0
1997-06-05T05:38:00	0
1997-06-05T05:39:00	0
1997-06-05T05:40:00	0
1997-06-05T05:41:00	0
1997-06-05T05:42:00	0
1997-06-05T05:43:00	0
1997-06-05T05:44:00	0
1997-06-05T05:45:00	0
1997-06-05T05:46:00	0
1997-06-05T05:47:00	0
1997-06-05T05:48:00	0
1997-06-05T05:49:00	0
1997-06-05T05:50:00	0
1997-06-05T05:51:00	2.936942e-24
1997-06-05T05:52:00	1.2520371e-16
1997-06-05T05:53:00	1.692292e-14
1997-06-05T05:54:00	7.923981e-13
1997-06-05T05:55:00	1.7444792e-11
1997-06-05T05:56:00	2.0326171e-10
1997-06-05T05:57:00	1.3881704e-09
1997-06-05T05:58:00	6.4912058e-09
1997-06-05T05:59:00	2.3071623e-08
1997-06-05T06:00:00	6.6748534e-08
1997-06-05T06:01:00	1.6476928e-07
1997-06-05T06:02:00	3.5902488e-07
1997-06-05T06:03:00	7.0818794e-07
1997-06-05T06:04:00	1.2889535e-06
1997-06-05T06:05:00	2.1963183e-06
1997-06-05T06:06:00	3.5425744e-06
1997-06-05T06:07:00	5.4546581e-06
1997-06-05T06:08:00	8.0698701e-06
1997-06-05T06:09:00	1.1530543e-05
1997-06-05T06:10:00	1.5978665e-05
1997-06-05T06:11:00	2.155127e-05
1997-06-05T06:12:00	2.8376879e-05
1997-06-05T06:13:00	3.6572772e-05
1997-06-05T06:14:00	4.6242629e-05
1997-06-05T06:15:00	5.7474437e-05
1997-06-05T06:16:00	7.0338778e-05
1997-06-05T06:17:00	8.4887761e-05
1997-06-05T06:18:00	0.00010115458
1997-06-05T06:19:00	0.00011915377
1997-06-05T06:20:00	0.00013888182
1997-06-05T06:21:00	0.0001603178
1997-06-05T06:22:00	0.00018342402
1997-06-05T06:23:00	0.00020814659
