#datetime;AU#1:gas.atm.V.windspeed;AU#1:gas.atm.degree.mainwinddir;AU#1:gas.atm.degree.winddir;AU#2:gas.atm.V.windspeed;AU#2:gas.atm.degree.mainwinddir;AU#2:gas.atm.degree.winddir;AU#3:gas.atm.V.windspeed;AU#3:gas.atm.degree.mainwinddir;AU#3:gas.atm.degree.winddir;AU#4:gas.atm.V.windspeed;AU#4:gas.atm.degree.mainwinddir;AU#4:gas.atm.degree.winddir
19910815T100000;NA;NA;266;NA;NA;313;NA;NA;225;NA;NA;233
19910815T110000;20;NA;244;20;NA;311;20;NA;252;20;NA;291
19910815T120000;NA;NA;276;NA;NA;305;NA;NA;242;NA;NA;244
19910815T130000;20;NA;282;20;NA;256;20;NA;262;20;NA;271
19910815T140000;NA;NA;297;NA;NA;234;NA;NA;254;NA;NA;268
19910815T150000;30;NA;277;30;NA;230;30;NA;277;30;NA;253
19910815T160000;NA;NA;226;NA;NA;279;NA;NA;305;NA;NA;264
19910815T170000;30;NA;243;30;NA;229;30;NA;300;30;NA;292
19910815T180000;NA;NA;259;NA;NA;255;NA;NA;269;NA;NA;300
19910815T190000;20;NA;293;20;NA;299;20;NA;276;20;NA;252
19910815T200000;NA;NA;294;NA;NA;239;NA;NA;244;NA;NA;242
19910815T210000;15;NA;300;15;NA;243;15;NA;286;15;NA;292
19910815T220000;NA;NA;311;NA;NA;300;NA;NA;313;NA;NA;288
19910815T230000;15;NA;248;15;NA;310;15;NA;263;15;NA;235
19910816T000000;NA;NA;262;NA;NA;248;NA;NA;271;NA;NA;315
19910816T010000;10;NA;281;10;NA;303;10;NA;315;10;NA;253
19910816T020000;NA;NA;281;NA;NA;297;NA;NA;290;NA;NA;310
19910816T030000;10;280;283;10;280;321;10;280;284;10;280;247
19910816T040000;NA;NA;249;NA;NA;300;NA;NA;237;NA;NA;285
19910816T050000;10;NA;293;10;NA;317;10;NA;273;10;NA;264
19910816T060000;NA;NA;309;NA;NA;257;NA;NA;269;NA;NA;243
19910816T070000;30;NA;253;30;NA;286;30;NA;287;30;NA;287
19910816T080000;NA;NA;236;NA;NA;300;NA;NA;270;NA;NA;254
19910816T090000;45;NA;275;45;NA;271;45;NA;300;45;NA;260
19910816T100000;NA;NA;300;NA;NA;259;NA;NA;271;NA;NA;276
19910816T110000;55;NA;235;55;NA;237;55;NA;324;55;NA;313
19910816T120000;NA;NA;279;NA;NA;245;NA;NA;271;NA;NA;243
19910816T130000;60;NA;315;60;NA;313;60;NA;284;60;NA;318
19910816T140000;NA;NA;262;NA;NA;316;NA;NA;309;NA;NA;269
19910816T150000;50;NA;309;50;NA;323;50;NA;282;50;NA;325
19910816T160000;NA;NA;320;NA;NA;309;NA;NA;288;NA;NA;277
19910816T170000;25;NA;275;25;NA;256;25;NA;239;25;NA;278
19910816T180000;NA;NA;237;NA;NA;303;NA;NA;284;NA;NA;316
19910816T190000;20;NA;268;20;NA;318;20;NA;308;20;NA;289
19910816T200000;NA;NA;285;NA;NA;257;NA;NA;236;NA;NA;293
19910816T210000;10;320;339;10;320;351;10;320;335;10;320;289
19910816T220000;NA;NA;289;NA;NA;307;NA;NA;320;NA;NA;277
19910816T230000;10;NA;329;10;NA;299;10;NA;302;10;NA;348
19910817T000000;NA;NA;1;NA;NA;338;NA;NA;339;NA;NA;285
19910817T010000;10;NA;315;10;NA;299;10;NA;342;10;NA;314
19910817T020000;NA;NA;0;NA;NA;308;NA;NA;307;NA;NA;335
19910817T030000;10;NA;294;10;NA;324;10;NA;300;10;NA;325
19910817T040000;NA;NA;2;NA;NA;340;NA;NA;1;NA;NA;309
19910817T050000;10;NA;358;10;NA;295;10;NA;304;10;NA;353
19910817T060000;NA;NA;308;NA;NA;322;NA;NA;332;NA;NA;354
19910817T070000;NA;NA;328;NA;NA;309;NA;NA;297;NA;NA;319
19910817T080000;NA;NA;291;NA;NA;303;NA;NA;324;NA;NA;1
19910817T090000;25;NA;296;25;NA;339;25;NA;301;25;NA;355
